Part,Weight,Cost,Quantity,Spare quantity,Total Cost + shipping,Total Weight,link,
,,,,,,,,
Weapon,42.6,,2,1,17.52,85.2,sendcutsend,
Weapon hub,5.02,,1,1,,5.02,,
Drive motor hub,2.83,,1,1,,2.83,,
Weapon motor,21.1,28.5,1,1,26.74,21.1,https://www.aliexpress.us/item/3256806491510449.html?spm=a2g0o.detail.similar_items.1.1f5f751c7EoP09&utparam-url=scene%3Aimage_search%7Cquery_from%3Adetail_bigimg%7Cx_object_id%3A1005006677825201%7C_p_origin_prod%3A&algo_pvid=ab781d94-1bb0-4cbf-b719-dd93198b23d9&algo_exp_id=ab781d94-1bb0-4cbf-b719-dd93198b23d9&pdp_ext_f=%7B%22order%22%3A%2225%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2128.50%2128.50%21%21%2128.50%2128.50%21%40210328d417809686889704957e9716%2112000043067846221%21sea%21US%212956977473%21X%211%210%21n_tag%3A-29919%3Bd%3Af54cf0c2%3Bm03_new_user%3A-29895&gatewayAdapt=4itemAdapt,
Weapon ESC,3.5,5.05,1,1,10.84,3.5,https://www.aliexpress.us/item/3256808919105106.html?spm=a2g0o.detail.similar_items.14.20eaf9Oaf9OaKX&utparam-url=scene%3Aimage_search%7Cquery_from%3Adetail_bigimg%7Cx_object_id%3A1005009105419858%7C_p_origin_prod%3A&algo_pvid=f66ea119-30b6-4d3e-84ca-421f929fd925&algo_exp_id=f66ea119-30b6-4d3e-84ca-421f929fd925&pdp_ext_f=%7B%22order%22%3A%2232%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2110.30%215.05%21%21%2110.30%215.05%21%402101d6ff17807985253126413e7687%2112000047930510067%21sea%21US%212956977473%21X%211%210%21bm%3A1&gatewayAdapt=4itemAdapt,Normal version
Battery,19,26.99,1,0,28.95,19,https://www.amazon.com/OVONIC-300mAh-Battery-Voltage-Package/dp/B0D2L17M8H?dib=eyJ2IjoiMSJ9.iOZQYxtIAA0XnZIAwtl1RfLC1KevEkIG8ucquI4vQ0u5mStHMluRfyxcHaDPzlAzXn0Wo7QzwB93mzBMF2aV5Evxob4wSbZ7Z4kTW0dQU2sJRItnBR99AkAvAsaPvO_E45yKqfVvdRtIkkY_J5VpWYriEf_zMmvLje13j_IMyM1c0hGUG3PEPg4HmCyAPq1LabaBjdYo3XQqTOQlIfegF5I6a35tgIxzmhryuRhDa98ppcp8BuFwBMrm2OfrpZbcAQRT423R6F1PUL7rXl73HJU7YTm44paDfOgTeqnZUfE.CiEka5A7w-WJqMnED2y-wVpc_kKYuk9xzidGuaYnyOw&dib_tag=se&keywords=300mah+2s+lipo&qid=1780852328&sr=8-3,
Reciever,1,4.86,1,0,7.15,1,https://www.aliexpress.us/item/3256805805961445.html?gatewayAdapt=glo2usa,
Power Switch,2.2,9,1,0,14,2.2,https://repeat-robotics.com/collections/antweight/products/fingertech-switch,
Belt,1.5,3.64,1,1,9.18,1.5,https://www.aliexpress.us/item/3256806630919356.html?spm=a2g0o.productlist.main.14.159d6p2s6p2sg5&algo_pvid=50d5dbde-f620-45fa-8ddf-e8cb8c74e335&algo_exp_id=50d5dbde-f620-45fa-8ddf-e8cb8c74e335-13&pdp_ext_f=%7B%22order%22%3A%2277%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%213.64%213.64%21%21%2124.60%2124.60%21%402101e2b617809681671076953e2c60%2112000038401336205%21sea%21US%212956977473%21X%211%210%21n_tag%3A-29919%3Bd%3Af54cf0c2%3Bm03_new_user%3A-29895&curPageLogUid=jU0sqGyD0j2h&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006817234108%7C_p_origin_prod%3A,2GT-252 4mm width
Trusses,24.5,,1,1,22.76,24.5,sendcutsend,
Body,18,,1,2,13.61,18,https://www.amazon.com/DMiotech-Molecular-Polyethylene-Automotive-Manufacturing/dp/B0D79CQFLM?dib=eyJ2IjoiMSJ9.J6xtEx66HALjDly4vHT0jayr5Wo5YJwOYhqfBLCNnyfAQ4FyPsk2yMgN9nPF94dWXB4eaZYubojU-R79Z-uQ5g7ei_kcDJQCCd8ce4staQsJEJybfcHfx7__OGzY0wmc0Mkc7R1eKzAQ9ZA_8vxeEOdtkSb9mqTedzVIozXLpDlX8Qv5sWLOOWFY_5txpglbVXRNuMyqB-dj9IRq_0THPfTV0Upx1cVroCRdfMxLVss.miQVV21CnpMRfBisav1UCfpABTB1HFyhuUdXQDnY-6Q&dib_tag=se&keywords=0.375%2Bin%2Buhmw%2Bsheets&qid=1780947848&sr=8-3&th=1,
Standoff,0.72,,4,0,5.01,2.8,https://www.aliexpress.us/item/3256802989279920.html?spm=a2g0o.productlist.main.13.9deaIDAoIDAoIo&algo_pvid=da40edce-5f6b-40b8-9d99-f876b6fe13c0&algo_exp_id=da40edce-5f6b-40b8-9d99-f876b6fe13c0-12&pdp_ext_f=%7B%22order%22%3A%223620%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%212.69%212.61%21%21%212.69%212.61%21%402101d97817808148877116800ec779%2112000024503233753%21sea%21US%212956977473%21X%211%210%21n_tag%3A-29919%3Bd%3Af54cf0c2%3Bm03_new_user%3A-29895%3BpisId%3A5000000208177917&curPageLogUid=P0pePeHZMBDg&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005003175594672%7C_p_origin_prod%3A,m3x18
